step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
102,'C7423388','1','F','28007','M515968276','28007','es_hyper',5.69,0
87,'C8204212','2','F','28007','M188409749','28007','es_fashion',64.53,0
37,'C4344769','1','M','28007','M332968651','28007','es_hotelservices',21.79,0
48,'C6743066','2','M','28007','M281009883','28007','es_health',145.09,0
130,'C3428388','2','M','28007','M379394470','28007','es_food',119.97,0
8,'C2465689','1','F','28007','M916698734','28007','es_hyper',64.68,0
34,'C2870928','1','F','28007','M365047041','28007','es_barsandrestaurants',31.35,0
145,'C8281369','2','M','28007','M858744035','28007','es_sportsandtoys',27.75,0
39,'C4366612','2','M','28007','M438175028','28007','es_sportsandtoys',13.54,0
123,'C2285160','1','M','28007','M167157848','28007','es_hyper',19.58,0
135,'C7940119','0','M','28007','M272552610','28007','es_transportation',93.27,0
40,'C4853339','4','F','28007','M447454369','28007','es_transportation',15.04,0
36,'C7245035','2','F','28007','M670916578','28007','es_fashion',68.15,0
4,'C7914550','3','F','28007','M197636744','28007','es_hotelservices',263.29,1
62,'C6292895','2','M','28007','M136810847','28007','es_wellnessandbeauty',12.04,0
142,'C8064746','1','F','28007','M524623942','28007','es_health',94.92,0
44,'C3539448','1','M','28007','M901312299','28007','es_wellnessandbeauty',29.13,0
91,'C4560920','2','M','28007','M734324250','28007','es_tech',71.0,0
102,'C3548421','2','M','28007','M926506464','28007','es_health',11.8,0
58,'C1061087','2','F','28007','M588035440','28007','es_transportation',11.92,0
38,'C5959617','3','M','28007','M258428240','28007','es_transportation',20.53,0
86,'C6595108','2','F','28007','M876124029','28007','es_food',22.78,0
159,'C2119043','1','M','28007','M328233509','28007','es_sportsandtoys',145.49,0
138,'C1110078','1','F','28007','M403998075','28007','es_barsandrestaurants',70.41,0
163,'C5135314','3','F','28007','M523767187','28007','es_hyper',43.1,0
127,'C8613287','1','M','28007','M587365080','28007','es_food',75.44,0
98,'C9536326','3','F','28007','M337085688','28007','es_wellnessandbeauty',11.69,0
47,'C3472189','4','F','28007','M671666426','28007','es_hyper',17.03,0
47,'C4674515','4','F','28007','M710021271','28007','es_wellnessandbeauty',8.17,0
165,'C5378727','2','M','28007','M535816957','28007','es_tech',2.18,0
127,'C3904941','2','F','28007','M752668623','28007','es_tech',168.98,1
141,'C6072148','1','M','28007','M526161286','28007','es_health',31.4,0
114,'C2983509','1','F','28007','M714600044','28007','es_health',36.91,0
20,'C3457184','2','F','28007','M938562244','28007','es_health',53.22,0
16,'C6130397','5','F','28007','M616077666','28007','es_tech',16.06,0
45,'C8778484','2','E','28007','M423609715','28007','es_fashion',12.94,0
66,'C7545535','2','M','28007','M504642357','28007','es_hotelservices',4.56,0
113,'C8413023','3','M','28007','M117882750','28007','es_hotelservices',49.25,0
160,'C9073461','2','M','28007','M354954230','28007','es_hotelservices',72.63,0
12,'C6491590','2','F','28007','M744090176','28007','es_sportsandtoys',57.6,0
114,'C9837590','0','F','28007','M909490207','28007','es_hyper',15.92,0
62,'C6893309','1','F','28007','M230997589','28007','es_transportation',62.53,0
53,'C9272874','1','F','28007','M185871668','28007','es_fashion',66.59,0
115,'C6143901','2','F','28007','M670137231','28007','es_food',15.65,0
144,'C2646711','1','M','28007','M436967606','28007','es_hotelservices',1160.78,1
22,'C3841992','3','M','28007','M809587577','28007','es_transportation',11.6,0
117,'C1176615','4','F','28007','M171709884','28007','es_hyper',22.02,0
92,'C8006454','0','F','28007','M781381298','28007','es_fashion',16.64,0
68,'C2748014','0','F','28007','M974703859','28007','es_fashion',5.6,0
175,'C4502630','2','M','28007','M743273060','28007','es_hyper',106.26,0
99,'C4693305','4','F','28007','M269124855','28007','es_fashion',35.49,0
79,'C8706358','4','F','28007','M685848991','28007','es_wellnessandbeauty',19.2,0
123,'C6246880','3','F','28007','M640906763','28007','es_health',38.89,0
42,'C3055723','1','M','28007','M646573613','28007','es_food',35.7,0
80,'C5833177','3','M','28007','M145932658','28007','es_tech',43.32,0
113,'C1157164','4','M','28007','M821322712','28007','es_fashion',29.79,0
100,'C3640328','2','F','28007','M798437615','28007','es_wellnessandbeauty',54.43,0
151,'C5594877','2','M','28007','M872427446','28007','es_hyper',5.81,0
16,'C6781565','2','M','28007','M304591500','28007','es_health',2.38,0
146,'C7197323','2','F','28007','M859220958','28007','es_wellnessandbeauty',36.97,0
116,'C8990340','1','M','28007','M840961146','28007','es_fashion',56.89,0
56,'C1787494','1','F','28007','M347212966','28007','es_hotelservices',78.53,0
74,'C3276360','3','F','28007','M534318588','28007','es_barsandrestaurants',44.25,0
169,'C7646705','4','M','28007','M157235484','28007','es_fashion',32.47,0
108,'C7243669','3','F','28007','M494659116','28007','es_wellnessandbeauty',45.11,0
18,'C9415398','2','F','28007','M577589542','28007','es_health',20.18,0
125,'C7939705','3','F','28007','M412632190','28007','es_tech',41.99,0
91,'C6304509','2','M','28007','M456015512','28007','es_sportsandtoys',22.07,0
57,'C2871403','5','F','28007','M412185646','28007','es_fashion',92.49,0
163,'C1423570','5','F','28007','M655762920','28007','es_transportation',23.21,0
116,'C7925877','2','F','28007','M295190712','28007','es_hotelservices',79.34,0
151,'C1160775','1','F','28007','M693858183','28007','es_hotelservices',12.82,0
100,'C8467048','1','M','28007','M238795966','28007','es_transportation',20.54,0
156,'C2600396','4','F','28007','M958134097','28007','es_health',35.26,0
9,'C8136029','4','M','28007','M213245302','28007','es_sportsandtoys',60.23,0
176,'C8468810','2','M','28007','M440007738','28007','es_transportation',24.13,0
98,'C5465150','1','M','28007','M592728837','28007','es_transportation',50.51,0
2,'C4196340','2','F','28007','M130413513','28007','es_hotelservices',11.66,0
109,'C7195200','5','F','28007','M650703552','28007','es_transportation',3.68,0
94,'C2186887','0','F','28007','M195856757','28007','es_health',68.91,0
53,'C8102173','3','F','28007','M223620654','28007','es_hyper',35.89,0
65,'C2534026','1','M','28007','M162468859','28007','es_food',33.2,0
29,'C1550222','2','F','28007','M522004019','28007','es_tech',55.58,0
29,'C5264694','2','F','28007','M299594780','28007','es_wellnessandbeauty',66.6,0
16,'C2854971','1','M','28007','M618856453','28007','es_fashion',10.21,0
42,'C9007407','2','F','28007','M649952694','28007','es_barsandrestaurants',8.95,0
131,'C9234679','2','F','28007','M165438362','28007','es_food',10.87,0
20,'C5150276','2','M','28007','M236600085','28007','es_fashion',28.76,0
11,'C5246049','1','M','28007','M407445658','28007','es_tech',655.2,1
55,'C4125354','4','M','28007','M215438617','28007','es_wellnessandbeauty',50.28,0
179,'C7160686','2','F','28007','M607900377','28007','es_hyper',46.62,0
153,'C7558221','1','M','28007','M903869698','28007','es_hyper',28.58,0
17,'C6872354','2','M','28007','M646681316','28007','es_hotelservices',66.3,0
85,'C1770173','1','F','28007','M501976531','28007','es_tech',56.48,0
108,'C5221038','2','F','28007','M348001134','28007','es_sportsandtoys',31.09,0
41,'C7482532','2','F','28007','M403990497','28007','es_sportsandtoys',16.03,0
120,'C1944789','1','M','28007','M790121219','28007','es_sportsandtoys',4.93,0
30,'C2033255','3','E','28007','M729686277','28007','es_food',89.28,0
78,'C3859653','5','F','28007','M824317106','28007','es_tech',28.8,0
25,'C9386180','1','M','28007','M853493778','28007','es_wellnessandbeauty',11.72,0
46,'C1854016','2','M','28007','M448915492','28007','es_wellnessandbeauty',33.54,0
133,'C3863793','2','F','28007','M310118281','28007','es_food',60.1,0
64,'C8796324','0','M','28007','M555704101','28007','es_hyper',5.95,0
68,'C1786667','2','F','28007','M908916104','28007','es_food',4.41,0
39,'C2092501','0','F','28007','M434753546','28007','es_tech',58.25,0
34,'C1873172','1','M','28007','M674488653','28007','es_hotelservices',15.3,0
41,'C8817304','3','M','28007','M645222157','28007','es_health',29.16,0
62,'C8490200','2','M','28007','M236826817','28007','es_fashion',36.26,0
178,'C8905477','4','F','28007','M464666823','28007','es_hotelservices',983.73,1
156,'C7867100','1','M','28007','M222715546','28007','es_hyper',10.01,0
65,'C4177993','2','F','28007','M542020981','28007','es_barsandrestaurants',18.66,0
108,'C2805468','2','F','28007','M782707267','28007','es_food',33.93,0
163,'C6735193','1','M','28007','M879956234','28007','es_hotelservices',11.03,0
22,'C5588334','1','F','28007','M795150809','28007','es_sportsandtoys',35.09,0
110,'C5424507','2','M','28007','M824777967','28007','es_wellnessandbeauty',2.82,0
126,'C1838761','3','M','28007','M396015752','28007','es_barsandrestaurants',5.85,0
40,'C3276106','2','M','28007','M810905177','28007','es_wellnessandbeauty',90.77,0
62,'C4578226','2','M','28007','M335199432','28007','es_fashion',58.83,0
116,'C7304680','1','M','28007','M587556697','28007','es_barsandrestaurants',16.91,0
161,'C3087258','2','M','28007','M969471083','28007','es_health',32.17,0
179,'C5108997','0','M','28007','M230978076','28007','es_barsandrestaurants',10.37,0
48,'C1570451','2','F','28007','M575160917','28007','es_sportsandtoys',33.67,0
140,'C5327858','1','F','28007','M981068063','28007','es_transportation',24.36,0
167,'C7511634','1','F','28007','M973118894','28007','es_food',22.34,0
113,'C4943645','2','M','28007','M881375360','28007','es_sportsandtoys',104.23,0
31,'C6211593','4','F','28007','M317968608','28007','es_hyper',66.09,0
134,'C8449607','0','M','28007','M942299350','28007','es_sportsandtoys',989.91,1
66,'C4185714','3','M','28007','M527097505','28007','es_health',46.84,0
119,'C9997354','5','F','28007','M705941941','28007','es_fashion',15.7,0
6,'C2839433','1','M','28007','M213954962','28007','es_health',21.15,0
